" Survey_Key "|" Q46_radio "|" Q47_radio           "|" Q48_radio           "|" Q49_radio           "|" Q50_radio           "|" Q51_radio           "|" Q52_radio           "|" Q53_radio           "|" Q54_radio           "|" ID  "|" instrument      "|" user_id "|" complete "|" complete_date       "|" sess_saved_date     "|" last_page_num "|
|||||||||||||||||
150|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|150|" Parent/Guardian "|61|1|10/16/2006 10:22:00|10/16/2006 10:22:00|15|" "
152|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 2 Little progress   "|" 3 Some progress     "|" 3 Some progress     "|" 3 Some progress     "|152|" Parent/Guardian "|61|1|10/16/2006 10:30:00|10/16/2006 10:29:00|15|" "
154|" No        "|" 3 Some progress     "|" 3 Some progress     "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 3 Some progress     "|" 3 Some progress     "|154|" Parent/Guardian "|61|1|10/16/2006 10:35:00|10/16/2006 10:35:00|15|" "
155|" No        "|" 4 A lot of progress "|" 3 Some progress     "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 3 Some progress     "|155|" Parent/Guardian "|61|1|10/16/2006 10:44:00|10/16/2006 10:44:00|15|" "
156|" Yes       "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|156|" Parent/Guardian "|61|1|10/16/2006 10:50:00|10/16/2006 10:50:00|15|" "
157|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|157|" Parent/Guardian "|61|1|10/16/2006 10:56:00|10/16/2006 10:56:00|15|" "
158|" No        "|" 1 No progress       "|" 3 Some progress     "|" 2 Little progress   "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 3 Some progress     "|158|" Parent/Guardian "|61|1|10/16/2006 11:04:00|10/16/2006 11:03:00|15|" "
159|" Yes       "|" 4 A lot of progress "|" 3 Some progress     "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|159|" Parent/Guardian "|61|1|10/16/2006 11:13:00|10/16/2006 11:13:00|15|" "
161|" No        "|" 2 Little progress   "|" 2 Little progress   "|" 3 Some progress     "|" 1 No progress       "|" 2 Little progress   "|" 2 Little progress   "|" 2 Little progress   "|" 2 Little progress   "|161|" Parent/Guardian "|61|1|10/16/2006 11:21:00|10/16/2006 11:20:00|15|" "
162|" Yes       "|" 4 A lot of progress "|" 3 Some progress     "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 3 Some progress     "|" 4 A lot of progress "|162|" Parent/Guardian "|61|1|10/16/2006 11:29:00|10/16/2006 11:28:00|15|" "
164|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|"2 Little Progress"|" 4 A lot of progress "|" 4 A lot of progress "|164|" Parent/Guardian "|61|1|10/16/2006 11:36:00|10/16/2006 11:35:00|15|" "
165|" Yes       "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|165|" Parent/Guardian "|61|1|10/16/2006 11:42:00|10/16/2006 11:41:00|15|" "
168|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|168|" Parent/Guardian "|61|1|10/16/2006 12:20:00|10/16/2006 12:19:00|15|" "
169|" No        "|" 3 Some progress     "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 2 Little progress   "|" 1 No progress       "|" 2 Little progress   "|" 2 Little progress   "|169|" Parent/Guardian "|61|1|10/16/2006 12:25:00|10/16/2006 12:25:00|15|" "
170|" No        "|" 3 Some progress     "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 2 Little progress   "|" 4 A lot of progress "|170|" Parent/Guardian "|61|1|10/16/2006 12:34:00|10/16/2006 12:33:00|15|" "
173|" No        "|" 4 A lot of progress "|" 3 Some progress     "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|173|" Parent/Guardian "|61|1|10/16/2006 13:40:00|10/16/2006 12:41:00|15|" "
176|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|176|" Parent/Guardian "|61|1|10/16/2006 13:49:00|10/16/2006 13:49:00|15|" "
177|" No        "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 3 Some progress     "|" 3 Some progress     "|" 2 Little progress   "|" 3 Some progress     "|177|" Parent/Guardian "|61|1|10/16/2006 13:55:00|10/16/2006 13:55:00|15|" "
178|" No        "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 3 Some progress     "|178|" Parent/Guardian "|61|1|10/16/2006 14:03:00|10/16/2006 14:02:00|15|" "
179|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|179|" Parent/Guardian "|61|1|10/16/2006 14:10:00|10/16/2006 14:09:00|15|" "
180|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|180|" Parent/Guardian "|61|1|10/16/2006 14:18:00|10/16/2006 14:18:00|15|" "
181|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|181|" Parent/Guardian "|61|1|10/16/2006 14:27:00|10/16/2006 14:26:00|15|" "
197|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|197|" Parent/Guardian "|62|1|10/17/2006 15:29:00|10/17/2006 15:29:00|15|" "
199|" No        "|" 2 Little progress   "|" 3 Some progress     "|" 2 Little progress   "|" 3 Some progress     "|" 3 Some progress     "|" 3 Some progress     "|" 3 Some progress     "|" 3 Some progress     "|199|" Parent/Guardian "|62|1|10/17/2006 15:48:00|10/17/2006 15:47:00|15|" "
200|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|200|" Parent/Guardian "|62|1|10/17/2006 16:13:00|10/17/2006 16:11:00|15|" "
201|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 2 Little progress   "|" 4 A lot of progress "|" 4 A lot of progress "|201|" Parent/Guardian "|62|1|10/17/2006 16:37:00|10/17/2006 16:35:00|15|" "
202|" No        "|" 2 Little progress   "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|" 1 No progress       "|" 1 No progress       "|" 1 No progress       "|" 1 No progress       "|202|" Parent/Guardian "|62|1|10/17/2006 16:49:00|10/17/2006 16:47:00|15|" "
205|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 2 Little progress   "|" 4 A lot of progress "|" 2 Little progress   "|" 4 A lot of progress "|205|" Parent/Guardian "|60|1|10/18/2006 11:56:00|10/18/2006 11:55:00|15|" "
206|" No        "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|206|" Parent/Guardian "|63|1|10/18/2006 12:05:00|10/18/2006 12:04:00|15|" "
207|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 1 No progress       "|" 4 A lot of progress "|" 4 A lot of progress "|207|" Parent/Guardian "|60|1|10/18/2006 12:05:00|10/18/2006 12:03:00|15|" "
208|" No        "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 2 Little progress   "|" 4 A lot of progress "|" 4 A lot of progress "|208|" Parent/Guardian "|60|1|10/18/2006 12:10:00|10/18/2006 12:10:00|15|" "
209|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|209|" Parent/Guardian "|63|1|10/18/2006 12:14:00|10/18/2006 12:14:00|15|" "
210|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 2 Little progress   "|" 4 A lot of progress "|" 4 A lot of progress "|210|" Parent/Guardian "|60|1|10/18/2006 12:23:00|10/18/2006 12:23:00|15|" "
211|" No        "|" 3 Some progress     "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|211|" Parent/Guardian "|63|1|10/18/2006 12:25:00|10/18/2006 12:24:00|15|" "
212|" No        "|" 2 Little progress   "|" 3 Some progress     "|" 2 Little progress   "|" 3 Some progress     "|" 3 Some progress     "|" 1 No progress       "|" 2 Little progress   "|" 2 Little progress   "|212|" Parent/Guardian "|60|1|10/18/2006 12:32:00|10/18/2006 12:32:00|15|" "
213|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|213|" Parent/Guardian "|63|1|10/18/2006 12:33:00|10/18/2006 12:32:00|15|" "
214|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|214|" Parent/Guardian "|60|1|10/18/2006 12:43:00|10/18/2006 12:43:00|15|" "
215|" No        "|" 4 A lot of progress "|" 3 Some progress     "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|215|" Parent/Guardian "|63|1|10/18/2006 12:47:00|10/18/2006 12:46:00|15|" "
216|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|216|" Parent/Guardian "|60|1|10/18/2006 12:52:00|10/18/2006 12:49:00|15|" "
217|" No        "|" 4 A lot of progress "|" 3 Some progress     "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|217|" Parent/Guardian "|63|1|10/18/2006 12:56:00|10/18/2006 12:55:00|15|" "
218|" Yes       "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|218|" Parent/Guardian "|60|1|10/18/2006 13:06:00|10/18/2006 13:05:00|15|" "
219|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 3 Some progress     "|219|" Parent/Guardian "|63|1|10/18/2006 13:25:00|10/18/2006 13:25:00|15|" "
221|" Yes       "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|221|" Parent/Guardian "|63|1|10/18/2006 14:18:00|10/18/2006 14:18:00|15|" "
222|" No        "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|222|" Parent/Guardian "|63|1|10/18/2006 15:49:00|10/18/2006 15:49:00|15|" "
223|" No        "|" 4 A lot of progress "|" 3 Some progress     "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|223|" Parent/Guardian "|63|1|10/18/2006 16:07:00|10/18/2006 16:06:00|15|" "
224|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|224|" Parent/Guardian "|64|1|10/18/2006 16:15:00|10/18/2006 16:14:00|15|" "
225|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|225|" Parent/Guardian "|63|1|10/18/2006 16:15:00|10/18/2006 16:15:00|15|" "
226|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|226|" Parent/Guardian "|64|1|10/18/2006 16:28:00|10/18/2006 16:27:00|15|" "
227|" No        "|" 4 A lot of progress "|" 3 Some progress     "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|227|" Parent/Guardian "|63|1|10/18/2006 16:25:00|10/18/2006 16:25:00|15|" "
228|" No        "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 3 Some progress     "|" 3 Some progress     "|" 3 Some progress     "|" 3 Some progress     "|228|" Parent/Guardian "|63|1|10/18/2006 16:39:00|10/18/2006 16:36:00|15|" "
229|" Yes       "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|229|" Parent/Guardian "|64|1|10/18/2006 16:36:00|10/18/2006 16:36:00|15|" "
230|" Yes       "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|230|" Parent/Guardian "|64|1|10/18/2006 16:45:00|10/18/2006 16:44:00|15|" "
231|" Yes       "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|231|" Parent/Guardian "|63|1|10/18/2006 16:47:00|10/18/2006 16:47:00|15|" "
232|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|232|" Parent/Guardian "|64|1|10/18/2006 16:54:00|10/18/2006 16:54:00|15|" "
233|" No        "|" 4 A lot of progress "|" 3 Some progress     "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 3 Some progress     "|" 4 A lot of progress "|233|" Parent/Guardian "|63|1|10/18/2006 16:58:00|10/18/2006 16:58:00|15|" "
234|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|234|" Parent/Guardian "|62|1|10/19/2006 16:28:00|10/19/2006 16:28:00|15|" "
235|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 2 Little progress   "|" 4 A lot of progress "|235|" Parent/Guardian "|62|1|10/19/2006 16:41:00|10/19/2006 16:41:00|15|" "
236|" No        "|" 3 Some progress     "|" 3 Some progress     "|" 3 Some progress     "|" 4 A lot of progress "|" 3 Some progress     "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|236|" Parent/Guardian "|62|1|10/19/2006 16:50:00|10/19/2006 16:50:00|15|" "
237|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|237|" Parent/Guardian "|62|1|10/23/2006 09:37:00|10/23/2006 09:35:00|15|" "
238|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|238|" Parent/Guardian "|60|1|10/23/2006 09:43:00|10/23/2006 09:42:00|15|" "
